Name,Type,Owner,Region,Location,Supply,Fuel,Port,Port_SPS,P Exp,Airbase,Airbase_SPS,A Exp,Forts,F Exp,Eng,Nav,Air S (P),AV,Garrison,Troop Cap,HQ,Japan VP,Allied VP,ID,Troop Cap Max
Nagaoka,Base,0,Japan,"114,58",2130,0,1,1,,1,6,0,0,9,0,52 (52),0 (0),0,0,136,General Defence Army,3 (1),150 (50),241,unlim
Nagasaki/Sasebo,Base,0,Japan,"102,58",105960,145600,7,6,,3,7,0,1,,107,236 (44),129 (28),498,0,30557,General Defence Army,13 (1),650 (50),242,unlim
Nagoya,Base,0,Japan,"111,60",76350,120700,9,9,,3,7,0,0,9,23,68 (32),75 (18),8,0,5807,General Defence Army,15 (1),750 (50),243,unlim
Niigata,Base,0,Japan,"114,57",18960,18800,5,4,,1,7,0,0,9,0,54 (54),0 (0),0,0,368,General Defence Army,7 (1),350 (50),244,unlim
Okayama,Base,0,Japan,"108,58",52560,2400,4,8,0,6,7,0,0,9,11,74 (74),21 (27),8,0,1563,General Defence Army,16 (1),800 (50),245,unlim
Osaka/Kyoto,Base,0,Japan,"109,59",172950,303300,10,7,,8,7,,0,9,142,146 (44),21 (18),883,0,37727,General Defence Army,26 (1),3900 (150),246,unlim
Sapporo,Base,0,Japan,"120,51",19080,19200,5,6,0,1,7,0,0,9,0,56 (56),0 (0),0,0,3120,General Defence Army,7 (1),350 (50),247,unlim
Sendai,Base,0,Japan,"117,58",3347,11400,3,5,0,1,7,0,0,9,62,44 (44),0 (0),252,0,10736,General Defence Army,5 (1),250 (50),248,unlim
Shimizu,Base,0,Japan,"112,61",13245,3400,4,4,,1,6,0,0,9,12,24 (24),24 (0),9,0,1255,General Defence Army,6 (1),300 (50),249,unlim
Shimonoseki,Base,0,Japan,"104,57",88845,143700,9,6,,4,7,0,0,9,0,74 (74),0 (0),35,0,2131,General Defence Army,17 (1),850 (50),250,unlim
Takamatsu,Base,0,Japan,"107,59",33690,3400,4,6,0,4,7,0,0,9,12,74 (74),24 (12),9,0,1255,General Defence Army,12 (1),600 (50),251,unlim
Tokyo,Base,0,Japan,"114,60",213360,339200,10,9,,10,7,,0,9,34,106 (46),152 (53),266,0,24556,General Defence Army,30 (1),7500 (250),252,unlim
Toyama,Base,0,Japan,"112,57",8460,500,3,1,,1,7,0,0,9,12,52 (52),23 (0),9,0,1255,General Defence Army,5 (1),250 (50),253,unlim
Tsu,Base,0,Japan,"110,60",33630,2400,4,5,0,4,7,0,0,9,12,37 (37),86 (0),0,0,1779,General Defence Army,12 (1),600 (50),254,unlim
Wakayama,Base,0,Japan,"109,60",4815,11500,2,1,,1,5,0,0,9,0,44 (44),0 (0),235,0,7328,General Defence Army,4 (1),200 (50),255,unlim
Wakkanai,Base,0,Japan,"122,48",8400,20500,3,4,0,1,6,0,0,9,12,32 (32),0 (0),35,0,1992,General Defence Army,5 (1),250 (50),256,unlim
Yokohama/Yokosuka,Base,0,Japan,"113,61",151860,82100,7,6,,5,7,0,1,,69,163 (44),233 (100),62,0,21322,General Defence Army,17 (1),850 (50),257,unlim
Yamagata,Airfield,0,Japan,"116,57",1455,2600,0,0,,1,5,0,0,9,0,0 (0),0 (0),157,0,5144,General Defence Army,2 (1),100 (50),258,unlim
Iwaki,Base,0,Japan,"116,59",13125,2800,3,1,,2,7,0,0,9,11,37 (37),107 (0),49,0,3600,General Defence Army,7 (1),350 (50),259,unlim
Hirosaki/Aomori,Base,0,Japan,"118,54",25785,47300,5,3,,2,7,0,0,9,0,112 (112),0 (0),0,0,412,General Defence Army,9 (1),450 (50),260,unlim
Aogashima,Base,0,Japan,"112,65",525,0,1,0,,0,0,,0,9,0,0 (0),0 (0),0,0,0,4th Fleet,1 (1),20 (20),263,6K
Chichi-jima,Base,0,Japan,"111,74",1386,0,1,1,,2,0,,0,9,11,71 (0),17 (0),46,0,4428,4th Fleet,5 (1),100 (20),264,30K
Fukue-jima,Base,0,Japan,"101,58",8400,0,2,2,,2,4,0,0,9,0,37 (37),0 (0),0,0,0,General Defence Army,6 (1),120 (20),265,unlim
Hachijo-jima,Base,0,Japan,"113,64",525,0,1,0,,0,1,0,0,9,0,0 (0),0 (0),0,0,0,4th Fleet,1 (1),20 (20),266,30K
Iwo-jima,Base,0,Japan,"108,77",525,0,1,1,,0,1,0,0,9,0,0 (0),0 (0),0,0,0,4th Fleet,1 (1),20 (20),267,30K
Izu Oshima,Base,0,Japan,"113,62",2100,0,1,0,,1,2,0,0,9,0,22 (22),0 (0),0,0,0,4th Fleet,3 (1),60 (20),268,60K
Koshiki-jima Retto,Base,0,Japan,"101,60",525,0,1,0,,0,4,0,0,9,0,32 (32),0 (0),0,0,0,General Defence Army,1 (1),20 (20),269,unlim
Kuroshima,Base,0,Japan,"100,61",525,0,1,0,,0,0,,0,9,0,28 (28),0 (0),0,0,0,Southern Army,1 (1),20 (20),270,6K
Miyake-jima,Base,0,Japan,"112,63",525,0,1,0,,0,2,0,0,9,0,22 (22),0 (0),0,0,0,4th Fleet,1 (1),20 (20),271,60K
Nakadori-jima,Base,0,Japan,"101,57",4725,0,2,0,,1,4,0,0,9,0,37 (37),0 (0),0,0,0,General Defence Army,4 (1),80 (20),272,unlim
Oki Shoto,Base,0,Japan,"108,56",4725,0,2,1,,1,3,0,0,9,0,56 (56),0 (0),0,0,0,General Defence Army,4 (1),80 (20),273,60K
Sadogashima,Base,0,Japan,"114,56",4755,0,2,1,,1,4,0,0,9,0,54 (54),0 (0),0,0,0,General Defence Army,4 (1),80 (20),274,unlim
Tokara Retto,Base,0,Japan,"100,62",525,0,1,0,,0,2,0,0,9,0,24 (24),0 (0),0,0,0,Southern Army,1 (1),20 (20),275,30K
Torishima,Beach,0,Japan,"111,68",0,0,0,0,,0,0,,0,9,0,0 (0),0 (0),0,0,0,4th Fleet,0 (1),0 (20),276,6K
Tsushima,Base,0,Japan,"103,56",58800,500,3,1,,1,5,0,6,,0,44 (44),0 (0),35,0,6944,General Defence Army,5 (1),100 (20),277,unlim
Yakushima,Base,0,Japan,"101,62",525,0,1,0,,0,3,0,0,9,0,28 (28),0 (0),0,0,0,Southern Army,1 (1),20 (20),278,unlim
Amami Oshima,Base,0,Japan,"98,64",1137,15500,3,2,,0,3,0,0,9,0,0 (0),0 (0),56,0,2336,Southern Army,3 (1),9 (3),281,unlim
Daito Shoto,Base,0,Japan,"98,69",525,0,1,0,,0,3,0,0,9,0,0 (0),0 (0),0,0,0,Southern Army,1 (1),3 (3),282,60K
Iriomote,Base,0,Japan,"89,65",525,0,1,0,,0,2,0,0,9,0,0 (0),0 (0),0,0,0,Southern Army,1 (1),3 (3),283,unlim
Ishigaki,Base,0,Japan,"90,66",1275,0,1,1,,0,4,0,0,9,0,0 (0),0 (0),35,0,1632,Southern Army,1 (1),3 (3),284,unlim
Kume-jima,Base,0,Japan,"94,65",525,0,1,0,,0,3,0,0,9,0,0 (0),0 (0),0,0,0,Southern Army,1 (1),3 (3),285,60K
Miyako-jima,Base,0,Japan,"91,66",525,0,1,1,,0,4,0,0,9,0,0 (0),0 (0),0,0,0,Southern Army,1 (1),3 (3),286,unlim
Nago,Base,0,Japan,"95,65",8400,0,1,1,,3,3,,0,9,0,0 (0),0 (0),35,0,1776,Southern Army,7 (1),630 (90),287,unlim
Naha,Base,0,Japan,"95,66",25725,40500,3,3,,4,5,0,0,9,0,0 (0),0 (0),0,0,0,Southern Army,11 (1),990 (90),288,unlim
Okinoerabushima,Base,0,Japan,"96,65",525,0,1,0,,0,2,0,0,9,0,0 (0),0 (0),0,0,0,Southern Army,1 (1),3 (3),289,30K
Tanegashima,Base,0,Japan,"102,62",4725,500,3,1,,0,4,0,0,9,0,32 (32),0 (0),0,0,0,Southern Army,3 (1),9 (3),290,unlim
Tokunoshima,Base,0,Japan,"97,65",525,0,1,0,,0,3,0,0,9,0,0 (0),0 (0),0,0,0,Southern Army,1 (1),3 (3),291,60K
Etorofu,Base,0,Japan,"128,52",4725,9500,3,1,,0,3,0,0,9,0,0 (0),0 (0),0,0,0,5th Fleet,3 (1),9 (3),294,unlim
Ketoi-jima,Base,0,Japan,"134,50",525,0,1,1,,0,2,0,0,9,0,0 (0),0 (0),0,0,0,5th Fleet,1 (1),3 (3),295,60K
Kunashiri,Base,0,Japan,"125,52",525,0,1,1,,0,5,0,0,9,0,28 (28),0 (0),0,0,0,5th Fleet,1 (1),3 (3),296,unlim
Onnekotan-jima,Base,0,Japan,"136,48",525,0,1,1,,0,4,0,0,9,0,0 (0),0 (0),0,0,0,5th Fleet,1 (1),3 (3),297,unlim
Paramushiro-jima,Base,0,Japan,"137,47",1275,0,1,1,,0,4,0,0,9,12,0 (0),0 (0),35,0,2078,5th Fleet,1 (1),3 (3),298,unlim
Shikuka,Base,0,Japan,"126,43",26250,32400,4,6,0,1,6,0,1,,15,0 (0),0 (0),0,0,360,5th Fleet,6 (1),270 (45),299,unlim
Shimushiri-jima,Base,0,Japan,"132,51",525,0,1,1,,0,4,0,0,9,0,0 (0),0 (0),0,0,0,5th Fleet,1 (1),3 (3),300,unlim
Toyohara,Base,0,Japan,"124,46",9960,500,3,1,,1,6,0,0,9,26,22 (22),0 (0),226,0,8104,5th Fleet,5 (1),225 (45),301,unlim
Uruppu-jima,Base,0,Japan,"130,52",525,0,1,1,,0,3,0,0,9,0,0 (0),0 (0),0,0,0,5th Fleet,1 (1),3 (3),302,unlim
Chinnampo,Base,0,Korea,"102,47",2355,2800,3,2,,0,7,0,0,9,0,0 (0),0 (0),0,0,0,Kwantung Army,3 (1),6 (2),305,unlim
Rashin,Base,0,Korea,"110,46",9450,4500,3,4,0,3,7,0,0,9,44,72 (0),43 (0),150,0,8545,Kwantung Army,9 (1),18 (2),306,unlim
Fusan,Base,0,Korea,"103,55",12915,62400,4,5,0,3,7,0,0,9,24,44 (44),29 (0),35,0,7822,Kwantung Army,10 (1),20 (2),307,unlim
Genzan,Base,0,Korea,"105,48",1050,0,1,1,,1,5,0,0,9,24,0 (0),23 (0),35,0,3528,Kwantung Army,3 (1),6 (2),308,unlim
Gunzan,Base,0,Korea,"102,52",2355,0,2,2,,1,7,0,0,9,0,28 (28),0 (0),0,0,0,Kwantung Army,4 (1),8 (2),309,unlim
Heijo,Airfield,0,Korea,"103,47",5910,4600,0,0,,2,7,0,1,,48,0 (0),0 (0),534,0,18936,Kwantung Army,4 (1),200 (50),310,unlim
Kaishu,Base,0,Korea,"102,48",1050,0,2,2,,0,6,0,0,9,0,0 (0),0 (0),126,0,3636,Kwantung Army,2 (1),4 (2),311,unlim
Keijo,Base,0,Korea,"103,50",13395,32000,4,3,,1,7,0,1,,53,24 (24),0 (0),337,0,13578,Kwantung Army,6 (1),300 (50),312,unlim
Seishin,Base,0,Korea,"109,46",1050,0,1,1,,1,5,0,0,9,0,0 (0),0 (0),41,0,1168,Kwantung Army,3 (1),6 (2),313,unlim
Kanko,Base,0,Korea,"105,47",9450,9500,3,6,0,3,5,0,0,9,22,0 (0),64 (0),127,0,6861,Kwantung Army,9 (1),18 (2),314,unlim
Taiden,Airfield,0,Korea,"103,52",255,0,0,0,,1,7,0,0,9,0,0 (0),0 (0),0,0,0,Kwantung Army,2 (1),4 (2),315,unlim
Taikyu,Airfield,0,Korea,"103,53",285,0,0,0,,1,7,0,0,9,0,0 (0),0 (0),0,0,0,Kwantung Army,2 (1),4 (2),316,unlim
Masan,Base,0,Korea,"102,54",1050,0,1,1,,1,6,0,0,9,11,32 (32),0 (0),32,0,2724,Kwantung Army,3 (1),6 (2),317,unlim
Moppo,Base,0,Korea,"100,54",9450,500,3,6,0,3,7,0,0,9,0,24 (24),0 (0),0,0,0,Kwantung Army,9 (1),18 (2),318,unlim
Saishu To,Base,0,Korea,"99,55",255,0,1,0,,0,3,0,0,9,0,24 (24),0 (0),0,0,0,Kwantung Army,1 (1),2 (2),319,unlim
Ulleungdo,Base,0,Korea,"107,52",255,0,1,0,,0,1,0,0,9,0,32 (32),0 (0),0,0,0,Kwantung Army,1 (1),2 (2),320,60K
Hengchun,Base,0,Formosa,"84,67",47355,0,1,0,,2,3,0,0,9,11,0 (0),21 (36),8,0,1015,General Defence Army,5 (1),75 (15),324,unlim
Karenko,Base,0,Formosa,"87,64",255,0,1,1,,0,3,0,0,9,0,0 (0),0 (0),0,0,0,General Defence Army,1 (1),15 (15),325,unlim
Orchid Island,Base,0,Formosa,"85,67",255,0,1,0,,0,3,0,0,9,0,0 (0),0 (0),0,0,0,General Defence Army,1 (1),15 (15),326,60K
Pescadores,Base,0,Formosa,"84,63",99246,37300,5,3,,3,4,0,3,,181,71 (0),91 (3),478,0,26377,General Defence Army,11 (1),165 (15),327,unlim
Taichu,Base,0,Formosa,"86,64",51255,6400,4,2,,5,7,0,0,9,16,0 (0),31 (63),0,0,1836,General Defence Army,14 (1),210 (15),328,unlim
Taihoku,Base,0,Formosa,"87,63",24510,2400,4,2,,2,7,0,0,9,12,0 (0),24 (0),44,0,3237,General Defence Army,8 (1),120 (15),329,unlim
Takao,Base,0,Formosa,"84,65",147225,57400,4,4,,8,7,,0,9,372,490 (0),541 (360),448,0,44222,General Defence Army,20 (1),300 (15),330,unlim
Anshan,Airfield,0,Manchukuo,"102,43",2385,2600,0,0,,1,7,0,1,,15,0 (0),0 (0),210,60,8828,Kwantung Army,2 (1),10 (5),334,unlim
Arshaan,Airfield,0,Manchukuo,"105,33",4725,0,0,0,,3,5,0,1,,11,0 (0),0 (0),70,0,3136,Kwantung Army,6 (1),30 (5),335,unlim
Changchun,Airfield,0,Manchukuo,"106,41",9645,900,0,0,,1,7,0,1,,132,0 (0),21 (33),889,120,41350,Kwantung Army,2 (1),10 (5),336,unlim
Chihfeng,Airfield,0,Manchukuo,"100,38",4725,0,0,0,,3,6,0,1,,0,0 (0),0 (0),33,0,1160,Kwantung Army,6 (1),30 (5),337,unlim
Chinchow,Beach,0,Manchukuo,"101,41",0,0,0,0,,0,7,0,1,,0,0 (0),0 (0),37,20,1584,Kwantung Army,0 (1),0 (5),338,unlim
Fuchin,Airfield,0,Manchukuo,"115,41",525,0,0,0,,1,3,0,1,,0,0 (0),0 (0),0,0,0,Kwantung Army,2 (1),10 (5),339,unlim
Fushun,Airfield,0,Manchukuo,"105,42",1455,0,0,0,,1,6,0,1,,14,0 (0),0 (0),110,60,7916,Kwantung Army,2 (1),10 (5),340,unlim
Fusin,Airfield,0,Manchukuo,"102,40",525,0,0,0,,1,6,0,1,,0,0 (0),0 (0),0,0,0,Kwantung Army,2 (1),10 (5),341,unlim
Hailar,Airfield,0,Manchukuo,"107,30",25800,0,0,0,,4,7,0,3,,90,0 (0),21 (90),583,0,24789,Kwantung Army,8 (1),40 (5),342,unlim
Hailun,Airfield,0,Manchukuo,"111,37",1275,0,0,0,,1,6,0,1,,0,0 (0),0 (0),144,0,4834,Kwantung Army,2 (1),10 (5),343,unlim
Harbin,Airfield,0,Manchukuo,"109,39",47370,3800,0,0,,6,7,0,4,,51,0 (0),84 (33),604,120,24045,Kwantung Army,12 (1),60 (5),344,unlim
Heiho,Airfield,0,Manchukuo,"113,33",7350,0,0,0,,2,7,0,6,,11,0 (0),0 (0),131,20,5080,Kwantung Army,4 (1),20 (5),345,unlim
Jehol,Airfield,0,Manchukuo,"97,39",4725,0,0,0,,3,6,0,1,,0,0 (0),0 (0),163,20,5436,Kwantung Army,6 (1),30 (5),346,unlim
Kiamusze,Airfield,0,Manchukuo,"113,40",25800,0,0,0,,4,7,0,3,,164,0 (0),149 (99),509,20,25669,Kwantung Army,8 (1),40 (5),347,unlim
Kirin,Airfield,0,Manchukuo,"108,42",6555,0,0,0,,1,7,0,1,,47,0 (0),0 (0),576,40,22906,Kwantung Army,2 (1),10 (5),348,unlim
Liaoyuan,Airfield,0,Manchukuo,"105,40",555,0,0,0,,1,7,0,1,,0,0 (0),0 (0),33,30,2324,Kwantung Army,2 (1),10 (5),349,unlim
Linhsi,Airfield,0,Manchukuo,"100,36",4725,0,0,0,,3,5,0,1,,0,0 (0),0 (0),32,0,1160,Kwantung Army,6 (1),30 (5),350,unlim
Mishan,Airfield,0,Manchukuo,"114,42",8100,0,0,0,,2,6,0,1,,209,0 (0),0 (0),569,0,27466,Kwantung Army,4 (1),20 (5),351,unlim
Moho,Beach,0,Manchukuo,"112,27",0,0,0,0,,0,6,0,1,,0,0 (0),0 (0),0,0,0,Kwantung Army,0 (1),0 (5),352,unlim
Mukden,Airfield,0,Manchukuo,"104,42",38040,4600,0,0,,6,7,0,3,,96,0 (0),43 (69),533,200,21049,Kwantung Army,12 (1),900 (75),353,unlim
Mutankiang,Airfield,0,Manchukuo,"111,42",25800,0,0,0,,4,6,0,3,,127,0 (0),85 (127),458,20,21907,Kwantung Army,8 (1),40 (5),354,unlim
Nunkiang,Airfield,0,Manchukuo,"111,34",525,0,0,0,,1,7,0,1,,0,0 (0),0 (0),0,0,0,Kwantung Army,2 (1),10 (5),355,unlim
Port Arthur,Base,0,Manchukuo,"99,44",177570,134500,9,9,,4,7,0,3,,36,80 (0),47 (0),131,120,10283,Kwantung Army,17 (1),85 (5),356,unlim
Shanhaiguan,Base,0,Manchukuo,"99,42",2100,0,1,1,,1,6,0,1,,0,0 (0),0 (0),0,0,0,Kwantung Army,3 (1),15 (5),357,unlim
Sunwu,Airfield,0,Manchukuo,"113,34",16530,0,0,0,,3,7,0,6,,93,0 (0),0 (0),570,0,23733,Kwantung Army,6 (1),30 (5),358,unlim
Taonan,Airfield,0,Manchukuo,"107,38",1275,0,0,0,,1,7,0,1,,11,0 (0),21 (0),184,20,6559,Kwantung Army,2 (1),10 (5),359,unlim
Tsitsihar,Airfield,0,Manchukuo,"109,36",15555,0,0,0,,1,7,0,1,,59,0 (0),21 (27),619,40,23958,Kwantung Army,2 (1),10 (5),360,unlim
Yingkow,Base,0,Manchukuo,"101,43",4755,0,2,2,,1,7,0,1,,0,0 (0),0 (0),32,20,1160,Kwantung Army,4 (1),20 (5),361,unlim
Amoy,Base,0,China,"83,61",32145,80500,3,5,,4,7,,4,,75,62 (0),40 (3),274,60,13413,China Expeditionary Army,11 (1),33 (3),365,unlim
Anking,Base,0,China,"88,52",4725,0,2,1,,1,6,,3,,50,0 (0),40 (0),395,40,17330,China Expeditionary Army,4 (1),12 (3),366,unlim
Antung,Base,0,China,"102,45",2355,0,2,1,,1,7,,1,,0,0 (0),0 (0),56,50,1584,China Expeditionary Army,4 (1),12 (3),367,unlim
Anyang,Beach,0,China,"89,43",1200,0,0,0,,0,6,,1,,13,0 (0),0 (0),245,40,8720,China Expeditionary Army,0 (1),0 (3),368,unlim
Canton,Base,0,China,"77,59",21315,158200,5,6,,4,7,,1,,110,99 (0),55 (93),668,360,29892,China Expeditionary Army,13 (1),39 (3),369,unlim
Chaochow,Base,0,China,"81,61",2355,0,2,2,,1,6,,1,,0,0 (0),0 (0),38,20,1156,China Expeditionary Army,4 (1),12 (3),370,unlim
Chefoo,Base,0,China,"98,46",2355,0,2,2,,1,6,,1,,11,36 (0),0 (0),65,60,2845,China Expeditionary Army,4 (1),12 (3),371,unlim
Chengting,Airfield,0,China,"92,40",4725,0,0,0,,3,7,,3,,32,0 (0),0 (0),516,120,18792,China Expeditionary Army,6 (1),18 (3),372,unlim
Foochow,Base,1,China,"86,60",0,0,3,5,,3,6,,,,,,,,120,,,9 (1),27 (3),373,unlim
Haichow,Base,0,China,"93,48",6555,0,2,1,,3,6,,1,,3,0 (0),0 (0),39,20,1336,China Expeditionary Army,8 (1),24 (3),374,unlim
Hangchow,Base,0,China,"90,55",10500,9500,3,5,,1,7,,4,,40,0 (0),0 (0),342,160,13346,China Expeditionary Army,5 (1),15 (3),375,unlim
Hankow,Base,0,China,"85,50",65655,2400,4,2,,6,7,,4,,224,60 (0),39 (55),752,220,37938,China Expeditionary Army,16 (1),48 (3),376,unlim
Hwainan,Airfield,0,China,"89,50",555,0,0,0,,1,7,,1,,3,0 (0),0 (0),81,60,2456,China Expeditionary Army,2 (1),6 (3),377,unlim
Ichang,Airfield,0,China,"83,48",3525,0,0,0,,1,7,,3,,52,0 (0),0 (0),531,20,16782,China Expeditionary Army,2 (1),6 (3),378,unlim
Kaifeng,Airfield,0,China,"89,44",4725,0,0,0,,3,7,,3,,49,0 (0),24 (0),507,100,16956,China Expeditionary Army,6 (1),18 (3),379,unlim
Kalgan,Airfield,0,China,"95,37",2355,0,0,0,,3,5,,1,,14,0 (0),7 (10),190,60,8356,China Expeditionary Army,6 (1),18 (3),380,unlim
Kaoping,Beach,0,China,"89,42",1000,0,0,0,,0,5,,1,,11,0 (0),0 (0),179,0,6264,China Expeditionary Army,0 (1),0 (3),381,unlim
Kiangtu,Base,0,China,"91,51",5700,500,3,0,,1,6,,1,,0,0 (0),0 (0),63,40,1832,China Expeditionary Army,5 (1),15 (3),382,unlim
Kiukiang,Base,0,China,"85,53",4725,0,2,0,,1,4,,3,,46,0 (0),0 (0),444,20,15478,China Expeditionary Army,4 (1),12 (3),383,unlim
Kweisui,Airfield,0,China,"92,35",2145,0,0,0,,1,5,,4,,0,0 (0),0 (0),64,40,1848,China Expeditionary Army,2 (1),6 (3),384,unlim
Luchow,Airfield,0,China,"88,51",1275,0,0,0,,1,7,,3,,0,0 (0),0 (0),123,40,3852,China Expeditionary Army,2 (1),6 (3),385,unlim
Mangan,Airfield,0,China,"95,33",705,0,0,0,,1,7,0,1,,0,0 (0),0 (0),22,0,700,China Expeditionary Army,2 (1),6 (3),386,unlim
Nanchang,Airfield,0,China,"85,54",13395,0,0,0,,3,7,,4,,32,0 (0),41 (24),372,100,15150,China Expeditionary Army,6 (1),18 (3),387,unlim
Nanking,Base,0,China,"91,52",32175,3400,4,2,,3,7,,4,,56,0 (0),0 (0),749,280,29885,China Expeditionary Army,10 (1),30 (3),388,unlim
Tungchow,Base,0,China,"92,53",2355,0,2,3,,1,6,,1,,0,0 (0),0 (0),78,60,2458,China Expeditionary Army,4 (1),12 (3),389,unlim
Ningpo,Base,0,China,"92,56",1050,0,1,1,,1,6,,1,,4,110 (110),0 (0),52,40,1336,China Expeditionary Army,3 (1),9 (3),390,unlim
Paoting,Airfield,0,China,"94,40",3255,0,0,0,,1,7,,1,,42,0 (0),0 (0),402,80,14650,China Expeditionary Army,2 (1),6 (3),391,unlim
Peiping,Airfield,0,China,"95,39",16260,900,0,0,,4,7,,1,,12,0 (0),0 (0),435,380,16894,China Expeditionary Army,8 (1),800 (100),392,unlim
Shanghai,Base,0,China,"92,55",79575,230200,7,7,,4,7,,4,,96,284 (0),49 (9),782,720,33692,China Expeditionary Army,15 (1),1500 (100),393,unlim
Shaohing,Base,0,China,"91,56",2355,0,2,2,,1,7,,1,,6,0 (0),0 (0),112,40,3556,China Expeditionary Army,4 (1),12 (3),394,unlim
Sinyang,Airfield,0,China,"86,48",2145,0,0,0,,1,7,,4,,41,0 (0),7 (0),257,0,9793,China Expeditionary Army,2 (1),6 (3),395,unlim
Soochow,Airfield,0,China,"92,54",3255,2000,0,0,,1,7,,1,,46,0 (0),0 (0),399,120,14754,China Expeditionary Army,2 (1),6 (3),396,unlim
Suchow,Airfield,0,China,"91,47",2505,0,0,0,,1,7,,1,,44,0 (0),0 (0),390,100,14034,China Expeditionary Army,2 (1),6 (3),397,unlim
Swatow,Base,0,China,"81,62",23625,40500,3,5,,3,6,,4,,13,0 (0),0 (0),202,80,7600,China Expeditionary Army,9 (1),27 (3),398,unlim
Taichow,Airfield,0,China,"92,52",1005,0,0,0,,1,6,,1,,3,0 (0),0 (0),79,40,2592,China Expeditionary Army,2 (1),6 (3),399,unlim
Tangshan,Base,0,China,"96,41",2355,0,2,1,,1,6,,1,,40,0 (0),0 (0),361,60,14103,China Expeditionary Army,4 (1),12 (3),400,unlim
Tatung,Airfield,0,China,"93,37",2025,0,0,0,,1,5,,3,,53,0 (0),0 (0),426,20,13292,China Expeditionary Army,2 (1),6 (3),401,unlim
Tientsin,Base,0,China,"95,41",23685,55200,5,5,,1,7,,4,,42,0 (0),0 (0),408,320,15574,China Expeditionary Army,7 (1),21 (3),402,unlim
Tsinan,Airfield,0,China,"93,44",2145,0,0,0,,1,7,,4,,10,0 (0),0 (0),173,160,8604,China Expeditionary Army,2 (1),6 (3),403,unlim
Tsinkiang,Base,0,China,"84,61",2355,0,2,2,,1,7,,1,,0,0 (0),0 (0),32,30,1078,China Expeditionary Army,4 (1),12 (3),404,unlim
